t,exporter,importer,value,quantity,exp_mis,imp_mis,quality
1995,ANT,COL,6.53896113930188,22.16,0,0.21,bad
1995,ANT,VEN,1.28260409364073,6.125,0,0.05,bad
1995,ARE,IND,188.93774223427772,550.979,0,0.85,bad
1995,ARE,JOR,26.4552319323677,56,0,0.58,bad
1995,ARE,MYS,2.75827350314246,15.125,0,0.55,bad
1995,ARE,SAU,4.29219777431811,14.187,0,0.08,bad
1995,ARE,TZA,3.80394827801052,0.496,0,0.84,bad
1995,ARG,CHN,4.868,20.289,0.12,0.74,bad
1995,AUS,CHN,1106.6080979011333,3195.68896656562,0,0.74,bad
1995,AUS,IDN,3.1037874629386,0.710518430983205,0,0.81,bad
1995,AUS,IND,40.042367693087996,92.4625762284691,0,0.85,bad
1995,AUS,MYS,123.89753056944,454.17332774152896,0,0.55,bad
1995,AUS,PAK,5.57,20.328,0,0.86,bad
1995,AUS,PHL,596.179,402.812,0,0.81,bad
1995,AUS,ZAF,100.543375127021,113.504296289022,0,0.54,bad
1995,BEL,ARG,3.88158966562361,11.4615946761031,0,0.12,bad
1995,BEL,BRA,10.564913584797,26.835,0,0.09,bad
1995,BEL,CHN,533.0452971014056,2029.160022001555,0,0.74,bad
1995,BEL,CIV,3.53678329604287,6.171465262473079,0,0.82,bad
1995,BEL,COD,1.763,0.01,0,0.85,bad
1995,BEL,DZA,12.742,80.441,0,0.58,bad
1995,BEL,GAB,5.815,7.75,0,0.34,bad
1995,BEL,IND,1361.95273236741,9342.930943604346,0,0.85,bad
1995,BEL,LTU,8.13915518086886,55.858000000000004,0,0.14,bad
1995,BEL,MAR,93.978,101.171,0,0.66,bad
1995,BEL,MYS,36.04508912854579,104.202,0,0.55,bad
1995,BEL,NGA,20.924,38.601,0,0.81,bad
1995,BEL,PAK,82.586,345.331,0,0.86,bad
1995,BEL,POL,126.852,229.296,0,0.12,bad
1995,BEL,RUS,32.42,31.695,0,0.16,bad
1995,BEL,SAU,122.48194867674279,38.568999999999996,0,0.08,bad
1995,BEL,SYR,26.159,38,0,0.65,bad
1995,BEL,UKR,3.961,0.109,0,0.49,bad
1995,BEL,ZAF,47.941,47.054,0,0.54,bad
1995,BHR,IND,10.1841921534802,32.871,0.1,0.85,bad
1995,BRA,CHN,77.182,151.199,0.09,0.74,bad
1995,BRA,COL,24.1798583543301,49.933,0.09,0.21,bad
1995,BRA,EGY,16.8723123214745,81,0.09,0.67,bad
1995,CAN,CHL,55.289,35.214,0,0.07,bad
1995,CAN,CHN,522.5789529979256,1718.193693849003,0,0.74,bad
1995,CAN,CUB,120.856,88.21000000000001,0,0.23,bad
1995,CAN,GHA,2.368,11.812,0,0.81,bad
1995,CAN,GTM,3.644,20.625,0,0.36,bad
1995,CAN,HTI,10.579,43.5,0,0.47,bad
1995,CAN,IND,35.83065108621392,118.0654642113022,0,0.85,bad
1995,CAN,MEX,494.9319301859519,1381.937,0,0.12,bad
1995,CAN,MYS,29.74145795847123,73.609,0,0.55,bad
1995,CAN,NGA,2.844,18.144,0,0.81,bad
1995,CAN,NIC,6.40504389125056,14.875,0,0.45,bad
1995,CAN,POL,7.99,18.077,0,0.12,bad
1995,CAN,SAU,547.810301439293,140.143,0,0.08,bad
1995,CAN,SDN,15.608,78.07,0,0.8,bad
1995,CAN,THA,288.601,300,0,0.73,bad
1995,CAN,VNM,6.414,22.398,0,0.86,bad
1995,CHL,PER,14.55860561388982,14.269026590885,0.07,0.25,bad
1995,CHN,IDN,3.97087051554344,6.187,0.74,0.81,bad
1995,CHN,IND,9.93499126016514,45.9061850864048,0.74,0.85,bad
1995,CHN,MMR,4.322,12,0.74,0.87,bad
1995,CHN,PAK,88.277,113.8,0.74,0.86,bad
1995,CHN,PHL,5.12,64,0.74,0.81,bad
1995,CHN,VNM,3.05,30.5,0.74,0.86,bad
1995,COL,ECU,20,10,0.21,0.3,bad
1995,COL,GTM,8.909,16.199,0.21,0.36,bad
1995,COL,SLV,210.537269836544,400.021475248444,0.21,0.33,bad
1995,CRI,NIC,13.1990211882899,279.17843917216,0.16,0.45,bad
1995,CRI,SLV,15.7647691213079,20.8957834588899,0.16,0.33,bad
1995,CYP,SAU,11.6092546242161,13.937,0,0.08,bad
1995,DEU,ARG,14.84217567576623,17.436999999999998,0,0.12,bad
1995,DEU,BGD,6.62521324445997,0.5,0,0.87,bad
1995,DEU,BGR,80,227.226,0,0.31,bad
1995,DEU,BIH,2,6.125,0,0.4,bad
1995,DEU,BRA,9.14143860572255,28.4084765014451,0,0.09,bad
1995,DEU,CHN,1143.2423759236399,7051.978739790036,0,0.74,bad
1995,DEU,COL,16.0701202949026,2.437,0,0.21,bad
1995,DEU,DZA,50.59,241.48,0,0.58,bad
1995,DEU,ECU,8.67447555044183,1.722,0,0.3,bad
1995,DEU,EGY,3,8.125,0,0.67,bad
1995,DEU,EST,47.4417397738147,48.628,0,0.09,bad
1995,DEU,GEO,3,10.125,0,0.51,bad
1995,DEU,HRV,2,6.5,0,0.09,bad
1995,DEU,IDN,113,263.999,0,0.81,bad
1995,DEU,IND,1049.2664015917505,5310.10703757761,0,0.85,bad
1995,DEU,JOR,3.04537407288352,0.5,0,0.58,bad
1995,DEU,LKA,2,2.875,0,0.82,bad
1995,DEU,LTU,371.64020169512503,2090.499,0,0.14,bad
1995,DEU,LVA,139.772686730613,720.287063047269,0,0.14,bad
1995,DEU,MEX,3.48261830542994,27.472,0,0.12,bad
1995,DEU,MYS,546.2555220113352,363.91069109004843,0,0.55,bad
1995,DEU,NGA,1,3.125,0,0.81,bad
1995,DEU,PAK,257,871.125,0,0.86,bad
1995,DEU,PHL,1138,4706.898,0,0.81,bad
1995,DEU,POL,946.0068579198457,1288.2700641140723,0,0.12,bad
1995,DEU,RUS,10,2.312,0,0.16,bad
1995,DEU,SAU,196.342621254599,63.0641208268102,0,0.08,bad
1995,DEU,SYR,50,59.601,0,0.65,bad
1995,DEU,TGO,4.93978128974887,0.156,0,0.84,bad
1995,DEU,THA,100.2368230575178,110.867,0,0.73,bad
1995,DEU,TUR,39.751126835919386,27.6982258299049,0,0.16,bad
1995,DEU,UKR,2,6.875,0,0.49,bad
1995,DEU,ZAF,61.158,68.18299999999999,0,0.54,bad
1995,DNK,CHN,2.10622454551606,8.687,0,0.74,bad
1995,DNK,EST,32.8492092118382,8.437,0,0.09,bad
1995,DNK,IND,473.73209378212096,751.717789747595,0,0.85,bad
1995,DNK,LVA,1.72001677199868,20,0,0.14,bad
1995,DNK,MYS,64.9568608567488,247.058,0,0.55,bad
1995,DNK,POL,284.415899364675,45.378,0,0.12,bad
1995,EGY,SDN,14.6748315295148,38.23,0.67,0.8,bad
1995,ESP,ARG,1.916,0.359,0,0.12,bad
1995,ESP,BRA,100.733844659008,557.948377911584,0,0.09,bad
1995,ESP,CHL,2.69896079108596,2.312,0,0.07,bad
1995,ESP,CHN,20.01554998531928,163.2701116878949,0,0.74,bad
1995,ESP,CIV,25.291,63,0,0.82,bad
1995,ESP,DZA,22.628999999999998,51.375,0,0.58,bad
1995,ESP,SAU,1181.805556011664,1400.683863052004,0,0.08,bad
1995,ESP,TUR,6.269,1.375,0,0.16,bad
1995,EST,LVA,27.227,225.074,0.09,0.14,bad
1995,EST,RUS,1.035,29.191,0.09,0.16,bad
1995,FIN,EST,33.59188257209562,20.007747176540548,0,0.09,bad
1995,FIN,LTU,1.5681238399459,15.562,0,0.14,bad
1995,FIN,RUS,186.709,173.303,0,0.16,bad
1995,FRA,ARG,15.645,3.375,0,0.12,bad
1995,FRA,BRA,5.616,1,0,0.09,bad
1995,FRA,CHN,712.797952055415,10449.573,0,0.74,bad
1995,FRA,CIV,410.916162973094,562.910208728226,0,0.82,bad
1995,FRA,CMR,10.4730410435394,10.187,0,0.81,bad
1995,FRA,DZA,87.9840229617038,267.5152977657379,0,0.58,bad
1995,FRA,GAB,2.406,1,0,0.34,bad
1995,FRA,GIN,1.75279523037653,0.378,0,0.84,bad
1995,FRA,IDN,55.7407207916086,12.9797294272167,0,0.81,bad
1995,FRA,IND,210.6313493119319,457.0162571300628,0,0.85,bad
1995,FRA,JOR,1.805,0.699,0,0.58,bad
1995,FRA,KEN,22.264,24,0,0.83,bad
1995,FRA,MAR,75.40809956057558,165.3722769048395,0,0.66,bad
1995,FRA,MDG,27.88,20,0,0.84,bad
1995,FRA,MEX,37.0978703410151,2.19058761652338,0,0.12,bad
1995,FRA,MYS,30.889,27.101,0,0.55,bad
1995,FRA,SAU,140.5064179117914,66.4707736278623,0,0.08,bad
1995,FRA,THA,91.1207807466122,10.7276012239453,0,0.73,bad
1995,FRA,TUN,33.135173030178095,18.81705372609379,0,0.6,bad
1995,FRA,TUR,75.819,28.101,0,0.16,bad
1995,FRA,VNM,104.101,141.8,0,0.86,bad
1995,GBR,ARG,63.564,40.082,0,0.12,bad
1995,GBR,CHL,3.042,0.199,0,0.07,bad
1995,GBR,CHN,518.9573501527105,2308.116,0,0.74,bad
1995,GBR,CIV,2.147,14.562,0,0.82,bad
1995,GBR,DZA,32.482,14.875,0,0.58,bad
1995,GBR,EGY,1.325,0.382,0,0.67,bad
1995,GBR,GMB,1.46749903432373,0.078,0,0.84,bad
1995,GBR,GTM,4.36649829986984,0.585,0,0.36,bad
1995,GBR,IDN,27.469,107.038,0,0.81,bad
1995,GBR,IND,611.9799650340984,1522.730421830099,0,0.85,bad
1995,GBR,MEX,80.261,18.898,0,0.12,bad
1995,GBR,MLT,119.441,40.339,0,0.06,bad
1995,GBR,MMR,1.44,0.001,0,0.87,bad
1995,GBR,MYS,118.40750489428541,192.4581186511092,0,0.55,bad
1995,GBR,NGA,88.246,177.019,0,0.81,bad
1995,GBR,PAK,282.345,688.3620000000001,0,0.86,bad
1995,GBR,PAN,6.906,14.562,0,0.18,bad
1995,GBR,PHL,1.452,0.004,0,0.81,bad
1995,GBR,SAU,9.44383261008463,2.687,0,0.08,bad
1995,GBR,THA,91.4781833661962,174.949,0,0.73,bad
1995,GBR,TUR,5.83578315541014,3.89328213039887,0,0.16,bad
1995,GBR,UKR,86.505,36.722,0,0.49,bad
1995,GBR,ZAF,70.827,25.843,0,0.54,bad
1995,GRC,BGR,15.287,106.097,0,0.31,bad
1995,GRC,CHN,74.7523662991266,133.566,0,0.74,bad
1995,GRC,TUR,4.104,9.937,0,0.16,bad
1995,GTM,NIC,12.959539002553,66.21,0.36,0.45,bad
1995,HKG,BGD,15.96668477622,3.75,0.01,0.87,bad
1995,HKG,CHN,34395.88351152162,196340.8391458579,0.01,0.74,bad
1995,HKG,IDN,2688.901,3284.015,0.01,0.81,bad
1995,HKG,IND,19.77715116075769,67.0251250900166,0.01,0.85,bad
1995,HKG,MDG,3.361,3,0.01,0.84,bad
1995,HKG,MYS,296.68965001134404,280.7844583997699,0.01,0.55,bad
1995,HKG,PAN,7.497,24.191,0.01,0.18,bad
1995,HKG,PHL,303.519,760.3620000000001,0.01,0.81,bad
1995,HKG,THA,2.77026505187684,13.350369277157052,0.01,0.73,bad
1995,HKG,VNM,202.303,466.39,0.01,0.86,bad
1995,HKG,ZAF,3.877,4.125,0.01,0.54,bad
1995,HRV,BIH,419.61699999999996,542,0.09,0.4,bad
1995,IRL,SAU,121.327508034075,20.019,0,0.08,bad
1995,IRL,TUR,2.2916760243744,0.01,0,0.16,bad
1995,IRN,IND,33.7743912697961,92.601,0.5,0.85,bad
1995,ISR,CHN,69.1136719076588,109,0.01,0.74,bad
1995,ISR,EGY,791.343864931824,87.5,0.01,0.67,bad
1995,ISR,IND,102.797123287116,84,0.01,0.85,bad
1995,ITA,ALB,48.419,62.807,0,0.45,bad
1995,ITA,ARG,27.589,23.07,0,0.12,bad
1995,ITA,BRA,29.289,7.812,0,0.09,bad
1995,ITA,CHN,91.84921155764452,255.38425479770578,0,0.74,bad
1995,ITA,CIV,77.8731149745482,53.261,0,0.82,bad
1995,ITA,COL,9.469,3.187,0,0.21,bad
1995,ITA,DZA,116.62872390947629,155.4289383309794,0,0.58,bad
1995,ITA,EGY,226.259,128.98,0,0.67,bad
1995,ITA,EST,1281.4400907406455,567.625,0,0.09,bad
1995,ITA,HRV,66.8068433242574,123,0,0.09,bad
1995,ITA,IND,129.627647106996,485.072089876485,0,0.85,bad
1995,ITA,JOR,71.759,17.671,0,0.58,bad
1995,ITA,LBN,36.708,23.562,0,0.34,bad
1995,ITA,LKA,208.07,27.601,0,0.82,bad
1995,ITA,MAR,78.2259374736393,175.19,0,0.66,bad
1995,ITA,MLT,5.489,3.375,0,0.06,bad
1995,ITA,MRT,356.199,263.437,0,0.82,bad
1995,ITA,MYS,9.94274014392603,17.13558057062155,0,0.55,bad
1995,ITA,NGA,7.34,21,0,0.81,bad
1995,ITA,PAK,9.27,21,0,0.86,bad
1995,ITA,PAN,20.309,6.5,0,0.18,bad
1995,ITA,PER,11.149,1.562,0,0.25,bad
1995,ITA,POL,47.74,18.55,0,0.12,bad
1995,ITA,ROU,7.33670208836911,5,0,0.26,bad
1995,ITA,RUS,530.679,260.949,0,0.16,bad
1995,ITA,SAU,649.084880054328,960.6085065029761,0,0.08,bad
1995,ITA,SYR,184.669,196,0,0.65,bad
1995,ITA,TUN,196.028591838268,81.1778472675375,0,0.6,bad
1995,ITA,TUR,32.978,9.312,0,0.16,bad
1995,ITA,UKR,47.3,20,0,0.49,bad
1995,ITA,VEN,32.771128819691796,3.578,0,0.05,bad
1995,ITA,ZAF,105.196,194.218,0,0.54,bad
1995,JOR,EGY,68.62954570949239,414,0.58,0.67,bad
1995,JPN,BRA,28.2260132188018,8.625,0,0.09,bad
1995,JPN,CHN,6544.356454415947,15851.68110726233,0,0.74,bad
1995,JPN,COL,5.67857114947287,0.75,0,0.21,bad
1995,JPN,IDN,99.7126430805112,229.210278989775,0,0.81,bad
1995,JPN,IND,200.31934674143676,345.791557208101,0,0.85,bad
1995,JPN,MYS,181.14319511324354,208.6613940235309,0,0.55,bad
1995,JPN,PAK,85.47,218.886,0,0.86,bad
1995,JPN,PHL,140.717,1014,0,0.81,bad
1995,JPN,PRK,3.029,15.312,0,0.88,bad
1995,JPN,THA,108.6241284133149,123.6193280424519,0,0.73,bad
1995,JPN,VNM,18.45,53.308,0,0.86,bad
1995,KOR,BGD,11.841,16,0,0.87,bad
1995,KOR,CHN,2572.0390344686043,4736.449439188979,0,0.74,bad
1995,KOR,CRI,8.514,2.187,0,0.16,bad
1995,KOR,IDN,233.7811234027895,366.081235777438,0,0.81,bad
1995,KOR,IND,43.942154989198,203.089,0,0.85,bad
1995,KOR,LBY,131.313,10.5,0,0.23,bad
1995,KOR,LKA,32.891,11.187,0,0.82,bad
1995,KOR,MYS,104.6047444259109,190.2208268406201,0,0.55,bad
1995,KOR,PAK,413.908,1477.562,0,0.86,bad
1995,KOR,PHL,1.606,7,0,0.81,bad
1995,KOR,RUS,1.658,0.449,0,0.16,bad
1995,KOR,SAU,13.511,3,0,0.08,bad
1995,KWT,SAU,18.8683032457569,127.058,0,0.08,bad
1995,LBY,EGY,164.411040292945,599.312,0.23,0.67,bad
1995,LBY,MAR,2.4653028604115,35,0.23,0.66,bad
1995,MAC,CHN,79.52726765227129,426.191953474079,0,0.74,bad
1995,MEX,BLZ,6,5.125,0.12,0.29,bad
1995,MEX,CHN,27.4313979404752,89.289,0.12,0.74,bad
1995,MEX,CUB,18,27.695,0.12,0.23,bad
