t,exporter,importer,value,quantity,exp_mis,imp_mis,quality
1995,ARE,HKG,178.5856822592773,470.671,0,0.01,neutral
1995,ARG,BRA,146.798429737375,241.243776258507,0.12,0.09,neutral
1995,ARG,CHL,64.1918009174177,178.8509050794213,0.12,0.07,neutral
1995,ARG,URY,3.7664565645741,5.811999999999999,0.12,0.08,neutral
1995,AUS,BEL,4.447,18,0,0,neutral
1995,AUS,DEU,2.87907962135606,0.538,0,0,neutral
1995,AUS,HKG,4198.247739585894,10747.448050061941,0,0.01,neutral
1995,AUS,IRL,19.58216285488011,23,0,0,neutral
1995,AUS,ISR,12.372,16.16,0,0.01,neutral
1995,AUS,ITA,163.471357118602,318.487741839565,0,0,neutral
1995,AUS,JPN,48.359,154.398,0,0,neutral
1995,AUS,MAC,36.021,72.101,0,0,neutral
1995,AUS,NLD,1.48606698230214,0.187,0,0,neutral
1995,AUS,NZL,866.4206218637792,1411.8362822830684,0,0,neutral
1995,AUS,SGP,40.6722007982149,98.0030917305665,0,0,neutral
1995,AUS,USA,2275.16092043961,117.2469577314667,0,0,neutral
1995,BEL,ARE,22.97,1.625,0,0,neutral
1995,BEL,AUS,31.37,5.75,0,0,neutral
1995,BEL,CAN,56.4807753361215,68.96,0,0,neutral
1995,BEL,DEU,2937.8952731947356,5313.856894022969,0,0,neutral
1995,BEL,DNK,8.93363222016631,10.44756878337899,0,0,neutral
1995,BEL,ESP,737.4248006754025,1280.2680492134737,0,0,neutral
1995,BEL,FIN,25.3477123963733,21.3267189054189,0,0,neutral
1995,BEL,FRA,1948.358823013326,6831.7219348723165,0,0,neutral
1995,BEL,GBR,961.9227356026868,1853.3235468822018,0,0,neutral
1995,BEL,GRC,429.254013403713,1114.5706831556445,0,0,neutral
1995,BEL,HKG,5443.2910082237595,16381.533522765365,0,0.01,neutral
1995,BEL,IRL,456.853217665941,1252.97544982187,0,0,neutral
1995,BEL,ISR,1030.155901611676,1637.699,0,0.01,neutral
1995,BEL,ITA,4197.540204618423,6136.41522800018,0,0,neutral
1995,BEL,JPN,23.251,0.847,0,0,neutral
1995,BEL,NLD,6972.238258136389,17366.78203919619,0,0,neutral
1995,BEL,PRT,19.799874570179597,41.0928217208038,0,0,neutral
1995,BEL,QAT,41.233,116.308,0,0,neutral
1995,BEL,SGP,299.7405057699262,892.9969916613851,0,0,neutral
1995,BEL,SWE,94.2231228173848,44,0,0,neutral
1995,BEL,USA,5744.965101185022,10786.289800609984,0,0,neutral
1995,BEN,TGO,2.93591891795366,60.25,0.83,0.84,neutral
1995,BMU,ESP,14.2823572868028,18.968,0,0,neutral
1995,BMU,HKG,33.4072779541861,57.882,0,0.01,neutral
1995,BMU,IRL,73.2575238489182,131.414,0,0,neutral
1995,BRA,ARG,8.913,15.625,0.09,0.12,neutral
1995,BRA,URY,17.83554027266921,59.5001229429287,0.09,0.08,neutral
1995,BRB,GBR,18.6554308935091,71,0.04,0,neutral
1995,BRB,USA,19.63122321485799,72.417,0.04,0,neutral
1995,BRN,SGP,8.73005890778763,27,0.01,0,neutral
1995,CAN,AUS,68.384,29.48,0,0,neutral
1995,CAN,DEU,32.7515631564292,29.1090606153293,0,0,neutral
1995,CAN,FRA,50.333999999999996,20.57,0,0,neutral
1995,CAN,GBR,62.9702383048276,94.1735236442078,0,0,neutral
1995,CAN,HKG,6234.788603881163,15631.353746966759,0,0.01,neutral
1995,CAN,ITA,514.1902416970703,789.097522060244,0,0,neutral
1995,CAN,JPN,7.488,25.5,0,0,neutral
1995,CAN,NLD,18.5968091143213,34.683,0,0,neutral
1995,CAN,OMN,7.411,25,0,0.04,neutral
1995,CAN,SWE,91.415,64.089,0,0,neutral
1995,CAN,USA,31718.322589878695,59653.590986276904,0,0,neutral
1995,CHL,ARG,7.62140555799196,0.949,0.07,0.12,neutral
1995,CHL,BRA,59.8314628856811,148.403991571598,0.07,0.09,neutral
1995,CHN,THA,49.3620784331685,67.2533164410104,0.74,0.73,neutral
1995,CMR,COD,17.346,62.398,0.81,0.85,neutral
1995,COG,CMR,14.1854332625338,25.199,0.77,0.81,neutral
1995,COL,PER,88.513509493033,159.618071614451,0.21,0.25,neutral
1995,CRI,COL,151.15454617919687,143.40607185194702,0.16,0.21,neutral
1995,CYP,GRC,95.0640384013303,162.4355389246556,0,0,neutral
1995,DEU,ARE,1,0.898,0,0,neutral
1995,DEU,BEL,4344.689645698319,15601.073661287837,0,0,neutral
1995,DEU,CAN,776.144514871296,1349.125,0,0,neutral
1995,DEU,CYP,9.67518223822361,15,0,0,neutral
1995,DEU,DNK,1452.9537923919913,1286.061193894829,0,0,neutral
1995,DEU,ESP,2112.8426450351635,6747.287425868434,0,0,neutral
1995,DEU,FIN,31.3645696121748,121.48115570008,0,0,neutral
1995,DEU,FRA,1733.9303825720808,75316.03740049119,0,0,neutral
1995,DEU,GBR,8624.509862531642,6790.038091175799,0,0,neutral
1995,DEU,GRC,2249.925994983068,5484.429753646165,0,0,neutral
1995,DEU,HKG,10482.596280774214,52658.954980597984,0,0.01,neutral
1995,DEU,IRL,3285.847757037419,7013.374515906064,0,0,neutral
1995,DEU,ISR,66,152.898,0,0.01,neutral
1995,DEU,ITA,19729.92908317668,41877.71365585663,0,0,neutral
1995,DEU,JPN,204.01820776929534,42.761,0,0,neutral
1995,DEU,KOR,52.5680641522459,108.315,0,0,neutral
1995,DEU,KWT,9,17,0,0,neutral
1995,DEU,NLD,12453.43104258769,57040.077447890515,0,0,neutral
1995,DEU,NOR,153.3184461339561,483.456673597208,0,0,neutral
1995,DEU,PRT,890.4237528754688,2198.766817660304,0,0,neutral
1995,DEU,SGP,79.1896630115652,300.06733608901,0,0,neutral
1995,DEU,SVN,32.18379525287863,34.8707250873318,0,0.01,neutral
1995,DEU,SWE,503.4475053945341,960.282146994291,0,0,neutral
1995,DEU,USA,17855.235820825983,31034.39076334511,0,0,neutral
1995,DMA,CRI,5.97251777145572,15.687,0.19,0.16,neutral
1995,DNK,BEL,7.104,13,0,0,neutral
1995,DNK,CAN,101.508,239,0,0,neutral
1995,DNK,DEU,995.7846409457138,1827.177513760766,0,0,neutral
1995,DNK,FIN,51.65176122001265,106.91164613470721,0,0,neutral
1995,DNK,FRA,142.2957728443184,241.07000000000002,0,0,neutral
1995,DNK,GBR,156.710272613281,406.329493149723,0,0,neutral
1995,DNK,GRC,3.08386119807508,19.621,0,0,neutral
1995,DNK,HKG,548.6455208338913,1109.275887235242,0,0.01,neutral
1995,DNK,IRL,342.797,620.421,0,0,neutral
1995,DNK,ITA,42.35524434325969,46.6291300561669,0,0,neutral
1995,DNK,NLD,216.44561399450097,588.2065104334946,0,0,neutral
1995,DNK,NOR,53.104440132845696,78.3450680749967,0,0,neutral
