labels,Algeria,Argentina,Australia,Austria,Bahamas,Bangladesh,BelgLux,Brazil,Myanmar,Belarus,Canada,Chile,China,Colombia,CostaRica,Czechia,Denmark,DomRep,Ecuador,ElSalvador,France,Germany,Greece,Guatemala,HongKong,Hungary,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Jordan,Kenya,SoKorea,Kuwait,Lebanon,Lithuania,Malaysia,Mexico,Taiwan,Morocco,Oman,Netherlands,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,SaudiArabia,India,Singapore,Slovakia,Vietnam,SACU,Spain,Sweden,Switzerland,Thailand,UAE,Tunisia,Turkey,Ukraine,Egypt,UK,Tanzania,USA,Uzbekistan
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,509383381.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423364626.1,0,0,0,0,0,0,0,0,0,195546515.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162027654.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123344143.3,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BelgLux,0,0,0,179527899.9,0,0,0,0,0,0,0,0,224481886.7,0,0,178446818.5,173194482.7,0,0,0,1308737995,2568487080,0,0,0,0,0,0,0,0,0,940304473.1,0,0,0,0,0,0,0,0,0,0,0,0,0,794405366.6,0,0,0,0,0,346696663.4,0,0,0,0,0,0,0,0,0,0,376568237.3,0,0,0,0,0,493093140.4,0,0,1092800809,0,0,0
Brazil,0,461059058.8,0,0,0,0,313656812.6,0,0,0,0,173053488.8,292994915.4,179788031,0,0,0,0,128846442.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158546682.3,0,0,0,0,0,0,0,217826254.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367812315.9,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268995274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283410391.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3573792022,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,145803173.2,0,0,201268177.9,0,0,0,0,0,0,0,0,0,0,0,0,375567774.8,0,338215516.5,153452731.2,0,0,0,0,852845775.4,177588924.3,0,0,144690728.1,0,0,0,452917159.2,0,0,0,0,0,189866470.4,0,0,148457785.4,203769167.6,0,0,0,0,415018340.8,0,622820827.8,0,0,367818974.2,162758052.9,0,0,0,272978898.3,0,0,0,177177880.9,0,0,0,0,180612156.7
Colombia,0,0,0,0,0,0,0,356446579.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145034089.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CostaRica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191718184.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342620802.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DomRep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElSalvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,811542312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985108618,0,0,0,0,0,0,0,0,0,1311317032,0,0,0,0,0,0,0,0,0,0,0,0,0,193986101.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376816256.5,0,0,0,0,0,355328189.7,0,0,349055553.6,0,0,0
Germany,0,0,0,488489496.4,0,0,784932468.5,0,0,0,0,0,234216902.2,0,0,457170695.2,238294315.5,0,0,0,852014509.8,0,0,0,0,220284749.3,0,0,0,0,0,1150736067,0,0,0,0,0,0,0,0,0,0,0,0,0,638990802.7,0,0,0,0,0,1067436873,0,0,0,279834567.6,0,0,0,0,0,0,282966922.4,184450749.6,238387604.4,0,0,0,298079728.8,0,0,523812516.3,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126405906.4,0,0,0,0,0,0,0,0,0,0,0,0,0,143308399,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HongKong,0,0,0,0,0,0,0,0,0,0,0,0,256701398.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184232153.3,0,0,0,0,0,0,0,0,0,223861054.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219731743.9,0,0,194582476.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,216299572.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133710874.9,0,0,0,0,0,0,0,0,165665910.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,4021984217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178123678.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284848580.7,0,0,0,0,0,0,0,0,0,0,639409350.1,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187210178,210443155.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124648497.4,0,0,0,0,0,0,0,0,0,0,147719756.7,0,0,0,0,0,157654796.7,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,755483923.9,0,0,0,0,0,0,0,0,0,0,0,146767378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127400535.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579023910.6,0,0,234841858,0,0,0,0,142945852.4,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoKorea,0,0,0,0,0,0,184878544.8,0,0,0,0,0,3209004077,0,0,0,0,0,0,0,0,0,0,0,183432829.3,0,175133904,293813877.5,0,0,0,292181215.6,197586668.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142156288.4,0,797511683.4,0,0,883519677.3,0,150177199.5,0,0,0,0,0,518077215.8,0,0,0,0,321531810.9,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,567846558.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302162017.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249825240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,122166554.2,0,0,0,0,0,0,674115849.9,0,0,0,0,0,0,0,0,0,0,0,0,0,379889257.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325809068.7,0,0,0,0,137006291.9,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,361179597.5,0,0,0,0,0,208563776.9,161578945.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889019718.7,0
Taiwan,0,0,274741876.5,0,0,273151013.9,0,0,0,0,0,0,1221679217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416488653.4,0,0,0,0,0,0,0,126961037.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786706201.2,0,0,490546636.7,0,0,0,0,0,0,0,0,0,0,0,0,288377680.5,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
