reporter,partner,year,classification,commodity_code,commodity,trade_flow_code,trade_flow,qty,qty_unit,trade_value_us
Algeria,World,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,4032354,Weight in kilograms,3044367
Algeria,World,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1544471,Weight in kilograms,383306
Algeria,Belgium,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,35420,Weight in kilograms,17102
Algeria,China,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,58800,Weight in kilograms,39646
Algeria,China,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,25,Weight in kilograms,24
Algeria,France,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,369305,Weight in kilograms,289512
Algeria,France,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,18800,Weight in kilograms,12664
Algeria,Iran,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,60,Weight in kilograms,284
Algeria,Italy,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,3539000,Weight in kilograms,2667434
Algeria,Italy,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,9378,Weight in kilograms,4534
Algeria,Rep. of Korea,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,56,Weight in kilograms,950
Algeria,India,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,66545,Weight in kilograms,32692
Algeria,Spain,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,22400,Weight in kilograms,12368
Algeria,Spain,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,272283,Weight in kilograms,150876
Algeria,United Arab Emirates,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,16000,Weight in kilograms,1341
Algeria,Tunisia,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,662560,Weight in kilograms,100629
Algeria,Turkey,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,6240,Weight in kilograms,16255
Algeria,Turkey,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,459750,Weight in kilograms,69745
Algeria,Ukraine,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1073,Weight in kilograms,811
Algeria,United Kingdom,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,39130,Weight in kilograms,10797
Algeria,World,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,4032354,Weight in kilograms,3044367
Algeria,World,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1544471,Weight in kilograms,383306
Algeria,Belgium,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,35420,Weight in kilograms,17102
Algeria,China,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,58800,Weight in kilograms,39646
Algeria,China,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,25,Weight in kilograms,24
Algeria,France,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,369305,Weight in kilograms,289512
Algeria,France,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,18800,Weight in kilograms,12664
Algeria,Iran,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,60,Weight in kilograms,284
Algeria,Italy,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,3539000,Weight in kilograms,2667434
Algeria,Italy,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,9378,Weight in kilograms,4534
Algeria,Rep. of Korea,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,56,Weight in kilograms,950
Algeria,India,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,66545,Weight in kilograms,32692
Algeria,Spain,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,22400,Weight in kilograms,12368
Algeria,Spain,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,272283,Weight in kilograms,150876
Algeria,United Arab Emirates,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,16000,Weight in kilograms,1341
Algeria,Tunisia,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,662560,Weight in kilograms,100629
Algeria,Turkey,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,6240,Weight in kilograms,16255
Algeria,Turkey,2017,H5,3915,"Waste, parings and scrap, of plastics",2,Export,459750,Weight in kilograms,69745
Algeria,Ukraine,2017,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1073,Weight in kilograms,811
